statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Bihar,Jehanabad,2001,6,0,0,51,0,25,0,4,0
Bihar,Katihar,2001,51,0,26,23,1,6,6,29,71
Bihar,Katihar Rly.,2001,0,0,0,9,0,0,2,0,0
Bihar,Khagaria,2001,5,0,4,6,1,11,6,2,59
Bihar,Kishanganj,2001,22,0,15,5,8,4,2,39,16
Bihar,Lakhisarai,2001,10,0,5,6,4,6,12,5,33
Bihar,Madhepura,2001,11,0,11,17,8,6,3,10,18
Bihar,Madhubani,2001,13,0,11,9,4,12,41,18,110
Bihar,Motihari,2001,44,0,46,103,23,37,3,47,36
Bihar,Munger,2001,11,0,0,29,12,8,0,39,28
Bihar,Muzaffarpur,2001,73,0,67,94,42,69,81,141,141
Bihar,Muzaffarpur Rly.,2001,2,0,2,20,1,0,4,1,0
Bihar,Nalanda,2001,40,0,19,34,13,47,14,54,60
Bihar,Naugachia,2001,7,0,5,11,1,4,0,5,31
Bihar,Nawadah,2001,15,0,9,30,12,17,7,13,61
Bihar,Patna,2001,27,0,196,331,54,90,47,152,178
Bihar,Patna Rly.,2001,1,0,1,11,0,0,9,0,3
Bihar,Purnea,2001,39,0,5,28,7,8,5,22,77
Bihar,Rohtas,2001,25,0,37,52,27,36,21,59,376
Bihar,Saharsa,2001,12,0,22,25,6,7,9,12,29
Bihar,Samastipur,2001,19,0,39,33,45,11,17,35,21
Bihar,Saran,2001,20,0,12,14,43,67,22,101,106
Bihar,Sheikhpura,2001,3,0,4,10,3,9,0,32,15
Bihar,Sheohar,2001,11,0,0,1,0,3,0,2,0
Bihar,Sitamarhi,2001,23,0,10,41,7,13,1,21,5
Bihar,Siwan,2001,4,0,13,26,16,32,6,10,44
Bihar,Supaul,2001,30,0,9,8,0,7,8,18,0
Bihar,Vaishali,2001,20,0,83,120,8,59,52,179,49
Bihar,Total,2001,888,0,946,1659,502,859,562,1558,2406
Chhattisgarh,Balrampur,2001,17,0,0,6,2,1,18,7,7
Chhattisgarh,Bilaspur,2001,69,0,5,23,17,7,180,94,93
Chhattisgarh,Bizapur,2001,4,0,0,0,6,0,1,0,2
Chhattisgarh,Dantewara,2001,19,0,1,5,5,1,18,3,31
Chhattisgarh,Dhamtari,2001,22,0,3,12,1,1,41,6,45
Chhattisgarh,Durg,2001,144,0,15,91,35,12,287,231,0
