statename,distname,YEAR,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER
Gujarat,Navsari,2001,26,0
Gujarat,Palanpur,2001,52,0
Gujarat,Panchmahal,2001,56,0
Gujarat,Patan,2001,24,0
Gujarat,Porbandar,2001,15,0
Gujarat,Rajkot Commr.,2001,29,1
Gujarat,Rajkot Rural,2001,30,3
Gujarat,Surat Commr.,2001,98,2
Gujarat,Surat Rural,2001,62,0
Gujarat,Surendranagar,2001,38,0
Gujarat,Vadodara Commr.,2001,34,0
Gujarat,Vadodara Rural,2001,71,1
Gujarat,Valsad,2001,44,3
Gujarat,W.Rly,2001,15,0
Gujarat,Total,2001,1226,94
Haryana,Ambala,2001,26,2
Haryana,Bhiwani,2001,40,8
Haryana,Faridabad,2001,68,7
Haryana,Fatehabad,2001,18,2
Haryana,Grp,2001,24,0
Haryana,Gurgaon,2001,69,5
Haryana,Hissar,2001,45,7
Haryana,Jhajjar,2001,48,2
Haryana,Jind,2001,37,6
Haryana,Kaithal,2001,33,8
Haryana,Karnal,2001,42,7
Haryana,Kurukshetra,2001,20,4
Haryana,Mahendragarh,2001,26,0
Haryana,Panchkula,2001,12,1
Haryana,Panipat,2001,43,3
Haryana,Rewari,2001,21,4
Haryana,Rohtak,2001,57,1
Haryana,Sirsa,2001,37,5
Haryana,Sonipat,2001,73,4
Haryana,Yamunanagar,2001,42,2
Haryana,Total,2001,781,78
Himachal Pradesh,Bilaspur,2001,8,0
Himachal Pradesh,Chamba,2001,13,0
Himachal Pradesh,G.R.P.,2001,1,0
Himachal Pradesh,Hamirpur,2001,2,1
Himachal Pradesh,Kangra,2001,24,3
Himachal Pradesh,Kinnaur,2001,5,0
Himachal Pradesh,Kullu,2001,13,0
Himachal Pradesh,Lahaul-Spiti,2001,1,0
Himachal Pradesh,Mandi,2001,18,0
Himachal Pradesh,Shimla,2001,14,2
Himachal Pradesh,Sirmaur,2001,3,0
Himachal Pradesh,Solan,2001,11,4
Himachal Pradesh,Una,2001,6,1
Himachal Pradesh,Total,2001,119,11
Jammu & Kashmir,Anantnag,2001,74,0
Jammu & Kashmir,Awantipora,2001,25,0
Jammu & Kashmir,Baramulla,2001,144,2
Jammu & Kashmir,Border,2001,6,0
Jammu & Kashmir,Budgam,2001,78,6
Jammu & Kashmir,Crime Jammu,2001,0,0
Jammu & Kashmir,Crime Srinagar,2001,0,0
Jammu & Kashmir,Doda,2001,104,0
Jammu & Kashmir,Ganderbal,2001,24,2
Jammu & Kashmir,Jammu,2001,27,6
Jammu & Kashmir,Kargil,2001,0,0
Jammu & Kashmir,Kathua,2001,16,1
Jammu & Kashmir,Kulgam,2001,39,2
Jammu & Kashmir,Kupwara,2001,141,0
Jammu & Kashmir,Leh,2001,3,0
Jammu & Kashmir,Poonch,2001,100,0
Jammu & Kashmir,Pulwama,2001,46,0
Jammu & Kashmir,Railways,2001,1,0
Jammu & Kashmir,Rajouri,2001,76,1
Jammu & Kashmir,Ramban,2001,51,1
Jammu & Kashmir,Reasi,2001,36,3
Jammu & Kashmir,Srinagar,2001,63,8
Jammu & Kashmir,Udhampur,2001,21,1
Jammu & Kashmir,Total,2001,1075,33
Jharkhand,Bokaro,2001,70,2
Jharkhand,Chaibasa,2001,109,10
Jharkhand,Chatra,2001,40,0
Jharkhand,Deoghar,2001,47,4
Jharkhand,Dhanbad,2001,97,7
Jharkhand,Dhanbad Rly.,2001,11,0
Jharkhand,Dumka,2001,63,4
Jharkhand,Garhwa,2001,32,6
Jharkhand,Giridih,2001,63,6
Jharkhand,Godda,2001,61,0
Jharkhand,Gumla,2001,136,7
Jharkhand,Hazaribagh,2001,76,4
Jharkhand,Jamshedpur,2001,81,8
Jharkhand,Jamshedpur Rly.,2001,4,0
Jharkhand,Jamtara,2001,22,0
Jharkhand,Koderma,2001,21,1
Jharkhand,Latehar,2001,54,5
