statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Chhattisgarh,Dantewara,2001,11,7,5,64,5
Chhattisgarh,Dhamtari,2001,4,2,0,110,11
Chhattisgarh,Durg,2001,57,9,50,893,208
Chhattisgarh,Grp Raipur,2001,0,2,9,197,5
Chhattisgarh,Jagdalpur,2001,6,2,23,172,18
Chhattisgarh,Janjgir,2001,9,2,25,237,25
Chhattisgarh,Jashpur,2001,2,5,17,54,8
Chhattisgarh,Kanker,2001,4,3,5,53,11
Chhattisgarh,Kawardha,2001,1,1,2,43,4
Chhattisgarh,Korba,2001,13,0,8,305,72
Chhattisgarh,Koriya,2001,7,3,6,153,7
Chhattisgarh,Mahasamund,2001,7,2,6,146,21
Chhattisgarh,Raigarh,2001,6,2,13,173,27
Chhattisgarh,Raipur,2001,38,10,58,953,347
Chhattisgarh,Rajnandgaon,2001,4,3,15,231,38
Chhattisgarh,Sarguja,2001,17,11,42,314,38
Chhattisgarh,Total,2001,207,87,338,4812,920
Goa,North Goa,2001,4,5,10,291,80
Goa,South Goa,2001,5,2,15,285,88
Goa,Total,2001,9,7,25,576,168
Gujarat,Ahmedabad Commr.,2001,143,18,192,3588,1740
Gujarat,Ahmedabad Rural,2001,27,15,25,225,30
Gujarat,Ahwa-Dang,2001,2,0,1,8,1
Gujarat,Amreli,2001,39,4,25,199,33
Gujarat,Anand,2001,30,10,14,427,87
Gujarat,Bharuch,2001,39,13,17,388,93
Gujarat,Bhavnagar,2001,60,5,48,561,190
Gujarat,Dahod,2001,15,22,44,120,41
Gujarat,Gandhinagar,2001,15,14,22,585,167
Gujarat,Himatnagar,2001,31,23,29,191,50
Gujarat,Jamnagar,2001,27,2,20,530,172
Gujarat,Junagadh,2001,46,4,52,547,131
Gujarat,Kheda North,2001,30,9,19,358,72
Gujarat,Kutch,2001,24,8,11,307,107
Gujarat,Mehsana,2001,58,23,45,557,87
Gujarat,Narmada,2001,9,1,0,46,9
Gujarat,Navsari,2001,6,7,13,120,37
Gujarat,Palanpur,2001,41,13,47,420,64
Gujarat,Panchmahal,2001,46,21,19,313,65
Gujarat,Patan,2001,21,8,19,220,26
Gujarat,Porbandar,2001,5,0,3,116,37
Gujarat,Rajkot Commr.,2001,46,5,31,1245,530
Gujarat,Rajkot Rural,2001,40,9,23,378,65
Gujarat,Surat Commr.,2001,57,26,59,1422,958
Gujarat,Surat Rural,2001,23,12,28,219,66
Gujarat,Surendranagar,2001,29,7,13,204,36
Gujarat,Vadodara Commr.,2001,35,4,39,997,449
Gujarat,Vadodara Rural,2001,38,15,21,210,24
Gujarat,Valsad,2001,16,22,25,432,135
Gujarat,W.Rly,2001,0,7,87,901,2
Gujarat,Total,2001,998,327,991,15834,5504
Haryana,Ambala,2001,38,2,18,365,154
Haryana,Bhiwani,2001,9,0,19,190,120
Haryana,Faridabad,2001,78,7,44,668,444
Haryana,Fatehabad,2001,20,3,11,141,61
Haryana,Grp,2001,2,0,5,169,35
Haryana,Gurgaon,2001,50,4,51,794,435
Haryana,Hissar,2001,26,2,27,438,258
Haryana,Jhajjar,2001,14,2,25,183,66
Haryana,Jind,2001,12,2,28,148,66
Haryana,Kaithal,2001,9,3,9,144,66
Haryana,Karnal,2001,31,8,16,468,194
Haryana,Kurukshetra,2001,14,5,13,343,131
Haryana,Mahendragarh,2001,13,1,1,116,32
Haryana,Panchkula,2001,18,1,5,226,95
Haryana,Panipat,2001,19,20,47,415,243
Haryana,Rewari,2001,13,0,7,155,72
Haryana,Rohtak,2001,13,5,29,365,203
Haryana,Sirsa,2001,18,2,5,240,108
Haryana,Sonipat,2001,26,5,28,347,165
Haryana,Yamunanagar,2001,26,5,9,202,74
Haryana,Total,2001,449,77,397,6117,3022
Himachal Pradesh,Bilaspur,2001,10,2,3,49,13
Himachal Pradesh,Chamba,2001,17,0,1,29,4
Himachal Pradesh,G.R.P.,2001,0,0,0,1,0
Himachal Pradesh,Hamirpur,2001,3,0,1,17,1
Himachal Pradesh,Kangra,2001,30,1,4,108,26
Himachal Pradesh,Kinnaur,2001,3,0,0,2,0
Himachal Pradesh,Kullu,2001,7,0,1,17,5
Himachal Pradesh,Lahaul-Spiti,2001,1,0,1,1,0
Himachal Pradesh,Mandi,2001,11,0,3,64,18
Himachal Pradesh,Shimla,2001,13,0,7,188,42
Himachal Pradesh,Sirmaur,2001,13,0,4,27,8
Himachal Pradesh,Solan,2001,13,0,1,59,16
